FileType,AVAPS II Data
FileFormat,CSV
MessageType,3
Comment: This file contains raw and derived data for the AVAPS II Sonde Type specified above.
Comment: Sonde data frames are organized into data blocks ending with a <name> BLOCK error flag.
Comment: BLOCK error flag values: 0=no bit errors; 1=bit error(s); -999=block data missing.
Comment: Missing data or out of range data value flag: -999.
Comment: The Date & Time (UTC) column is formatted as an ISO-8601 string.
Labels,Data Date & Time (UTC),Data Time (sec),Frame Time (sec),Frame Type,Frame Count,FRAME BLOCK error (0-1),PTU Time (sec),RSS421 Pressure (mb),RSS421 Air Temp (C),RSS421 RH (%),RSS421 RH Temp (C),Mixing Ratio (g/Kg),Dewpoint Temp (C),Virtual Temp (C),Potential Temp (K),Equiv Potential Temp (K),PTU Vertical Velocity (m/s),Geopotential Altitude (m),PTU BLOCK error (0-1),GPS VEL Time (sec),GPS Wind Direction (deg),GPS Wind Speed (m/s),GPS U Wind (m/s),GPS V Wind (m/s),GPS W.S. Accuracy (m/s),GPS Vert Velocity (m/s),GPS MSL Altitude (m),GPS SOG (km/h),GPS COG (deg),GPS Satellites,GPS Fix Type,GPS VEL CRC-16,GPS VEL BLOCK error (0-1),GPS Longitude (deg),GPS Latitude (deg),GPS Horizontal Accuracy,GPS Vertical Accuracy,GPS POS CRC-16,GPS POS BLOCK error (0-1),Sea Surface Temp (C) ,SST (body temp) (C) ,Spare 1 (U16),Spare 2 (U16),Spare 3 (U16),Spare 4 (U16),Spare 5 (U16),Spare 6 (U16),Spare 7 (U16),PTU Module Status (U16),PTU Module Errors (U16),Parachute L.D. CDS (U16),GPS Resets Count (U8),GPS Loop Speed (U8),GPS Tracking Position (U8),MISC CRC-16,MISC BLOCK error (0-1),Sonde ID,Launch Detect Count,Battery Voltage (vdc),RSS421 Internal Temp (C),Revision Control,ENGR CRC-16,ENGR BLOCK error (0-1)
Data,2020-01-22 15:19:04.395Z,0,0,3,443,0,0,923.077454,27.726404,17.561547,32.492107,4.434779,0.92514,28.535402,307.843523,319.345834,-999,-999,0,-999,245.72,221.37,201.78913,91.026501,0.13,-0.15,10365.23,221.37,65.72,14,3,44368,0,-58.1391,14.210623,0.68,0.75,27849,0,0,0,0,0,0,0,0,0,0,4104,0,23536,2,0,36,45570,0,192510299,0,5.955,30.394815,16690,4704,0
Data,2020-01-22 15:19:04.645Z,0.25,0,3,443,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0.25,245.74,221.41,201.857359,90.972493,0.11,-0.13,10365.24,221.41,65.74,14,3,65051,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510299,0,5.955,30.394815,16690,4704,0
Data,2020-01-22 15:19:04.895Z,0.5,0.5,3,444,0,0.5,922.967468,27.789036,17.76342,32.496891,4.503245,1.134881,28.610637,307.918099,319.601668,-999,-999,0,-999,245.78,221.41,201.920821,90.831548,0.1,-0.2,10365.22,221.41,65.78,14,3,38421,0,-58.138167,14.211033,0.67,0.75,22395,0,0,0,0,0,0,0,0,0,0,4104,0,23476,2,0,36,57254,0,192510299,0,5.878,30.394815,16690,4780,0
Data,2020-01-22 15:19:05.145Z,0.75,0.5,3,444,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,0.75,245.82,221.46,202.029797,90.711039,0.15,-0.22,10365.13,221.46,65.82,14,3,13426,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510299,0,5.878,30.394815,16690,4780,0
Data,2020-01-22 15:19:05.395Z,1,1,3,445,0,1,922.920715,27.863283,17.849588,32.527241,4.545304,1.262616,28.692728,307.99853,319.7934,-999,-999,0,-999,245.83,221.45,202.036503,90.671682,0.11,-0.1,10365.01,221.45,65.83,14,3,58028,0,-58.137233,14.211442,0.67,0.75,58886,0,0,0,0,0,0,0,0,0,0,4104,0,23481,2,0,35,48879,0,192510299,0,5.91,30.394815,16690,8947,0
Data,2020-01-22 15:19:05.645Z,1.25,1,3,445,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,1.25,245.86,221.5,202.129578,90.586332,0.12,-0.09,10364.9,221.5,65.86,14,3,49320,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510299,0,5.91,30.394815,16690,8947,0
Data,2020-01-22 15:19:05.895Z,1.5,1.5,3,446,0,1.5,922.890015,27.856489,17.900372,32.569775,4.556661,1.296652,28.687978,307.994509,319.819525,-999,-999,0,-999,245.9,221.51,202.201899,90.44928,0.11,-0.11,10364.82,221.51,65.9,14,3,49740,0,-58.136298,14.211851,0.66,0.74,30082,0,0,0,0,0,0,0,0,0,0,4104,0,23497,2,0,35,52141,0,192510299,0,5.852,30.394815,16690,43569,0
Data,2020-01-22 15:19:06.145Z,1.75,1.5,3,446,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,1.75,245.93,221.56,202.294882,90.363788,0.11,-0.08,10364.75,221.56,65.93,14,3,25617,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510299,0,5.852,30.394815,16690,43569,0
Data,2020-01-22 15:19:06.395Z,2,2,3,447,0,2,922.765381,27.912912,17.735022,32.619831,4.529894,1.213337,28.739694,308.064141,319.818798,-999,-999,0,-999,245.95,221.59,202.353809,90.305394,0.12,-0.06,10364.68,221.59,65.95,14,3,8781,0,-58.135362,14.212259,0.65,0.74,4958,0,0,0,0,0,0,0,0,0,0,4104,0,23523,2,0,35,12018,0,192510299,0,5.846,30.394815,16690,58562,0
Data,2020-01-22 15:19:06.645Z,2.25,2,3,447,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,2.25,245.99,221.58,202.40767,90.160034,0.11,-0.07,10364.62,221.58,65.99,14,3,65178,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510299,0,5.846,30.394815,16690,58562,0
Data,2020-01-22 15:19:06.895Z,2.5,2.5,3,448,0,2.5,922.858765,27.95154,18.377621,32.64476,4.70547,1.741257,28.810326,308.09475,320.313548,-999,-999,0,-999,246.02,221.58,202.45485,90.054041,0.11,-0.15,10364.57,221.58,66.02,14,3,19009,0,-58.134426,14.212665,0.64,0.73,47,0,0,0,0,0,0,0,0,0,0,4104,0,23492,2,0,35,19860,0,192510299,0,5.891,30.394815,16690,65213,0
Data,2020-01-22 15:19:07.145Z,2.75,2.5,3,448,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,2.75,246.05,221.63,202.547669,89.96832,0.11,-0.02,10364.49,221.63,66.05,14,3,8449,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510299,0,5.891,30.394815,16690,65213,0
Data,2020-01-22 15:19:07.395Z,3,3,3,449,0,3,922.714539,28.006033,18.745749,32.65432,4.816627,2.063387,28.885167,308.164283,320.678024,-999,-999,0,-999,246.07,221.62,202.569921,89.893556,0.12,-0.13,10364.42,221.62,66.07,14,3,35278,0,-58.133489,14.213071,0.63,0.72,21418,0,0,0,0,0,0,0,0,0,0,4104,0,23455,2,0,35,27135,0,192510299,0,5.813,30.430601,16690,8440,0
Data,2020-01-22 15:19:07.645Z,3.25,3,3,449,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,3.25,246.1,221.66,202.653532,89.803684,0.1,-0,10364.39,221.66,66.1,14,3,19347,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510299,0,5.813,30.430601,16690,8440,0
Data,2020-01-22 15:19:07.895Z,3.5,3.5,3,450,0,3.5,922.824341,28.023726,18.219473,32.664284,4.684696,1.679365,28.878943,308.1719,320.335775,-999,-999,0,-999,246.13,221.69,202.727959,89.709703,0.1,-0,10364.36,221.69,66.13,14,3,5819,0,-58.132552,14.213476,0.62,0.71,65034,0,0,0,0,0,0,0,0,0,0,4104,0,23438,2,0,35,31378,0,192510299,0,5.936,30.430601,16690,44397,0
Data,2020-01-22 15:19:08.145Z,3.75,3.5,3,450,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,3.75,246.16,221.72,202.802343,89.615668,0.1,-0.01,10364.35,221.72,66.16,14,3,7636,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510299,0,5.936,30.430601,16690,44397,0
Data,2020-01-22 15:19:08.395Z,4,4,3,451,0,4,922.745972,28.002897,18.103646,32.676151,4.649392,1.573323,28.851641,308.158072,320.228816,-999,-999,0,-999,246.19,221.74,202.867536,89.517542,0.11,0.05,10364.34,221.74,66.19,14,3,42435,0,-58.131614,14.213881,0.61,0.7,5914,0,0,0,0,0,0,0,0,0,0,4104,0,23433,2,0,35,22467,0,192510299,0,5.891,30.430601,16690,41708,0
Data,2020-01-22 15:19:08.645Z,4.25,4,3,451,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,4.25,246.22,221.76,202.932682,89.419373,0.1,-0,10364.31,221.76,66.22,14,3,35872,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510299,0,5.891,30.430601,16690,41708,0
Data,2020-01-22 15:19:08.895Z,4.5,4.5,3,452,0,4.5,922.780334,27.972231,18.257624,32.665939,4.680609,1.666595,28.826559,308.123411,320.276673,-999,-999,0,-999,246.24,221.78,202.982187,89.356589,0.1,0.06,10364.28,221.78,66.24,14,3,28776,0,-58.130675,14.214284,0.61,0.69,43726,0,0,0,0,0,0,0,0,0,0,4104,0,23465,2,0,35,6644,0,192510299,0,5.91,30.394815,16690,8947,0
Data,2020-01-22 15:19:09.145Z,4.75,4.5,3,452,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,4.75,246.28,221.79,203.053676,89.218882,0.1,0.08,10364.31,221.79,66.28,14,3,9155,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510299,0,5.91,30.394815,16690,8947,0
Data,2020-01-22 15:19:09.395Z,5,5,3,453,0,5,922.730591,27.946472,18.451004,32.636028,4.723655,1.792836,28.808547,308.101803,320.369241,-999,-999,0,-999,246.32,221.8,203.125071,89.081118,0.1,0.1,10364.38,221.8,66.32,14,3,44029,0,-58.129736,14.214688,0.6,0.69,51146,0,0,0,0,0,0,0,0,0,0,4104,0,23463,2,0,35,17238,0,192510299,0,5.897,30.430601,16690,60447,0
Data,2020-01-22 15:19:09.645Z,5.25,5,3,453,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,5.25,246.34,221.83,203.183632,89.022248,0.1,0.09,10364.48,221.83,66.34,14,3,35907,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510299,0,5.897,30.430601,16690,60447,0
Data,2020-01-22 15:19:09.895Z,5.5,5.5,3,454,0,5.5,922.715515,27.904772,18.291523,32.647854,4.67112,1.637479,28.757185,308.060572,320.189014,-999,-999,0,-999,246.37,221.83,203.230216,88.915849,0.1,0.13,10364.57,221.83,66.37,14,3,25760,0,-58.128797,14.21509,0.59,0.69,16513,0,0,0,0,0,0,0,0,0,0,4104,0,23461,2,0,35,11195,0,192510299,0,5.865,30.430601,16690,56384,0
Data,2020-01-22 15:19:10.145Z,5.75,5.5,3,454,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,5.75,246.41,221.86,203.319734,88.785952,0.1,0.12,10364.65,221.86,66.41,14,3,59743,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510299,0,5.865,30.430601,16690,56384,0
Data,2020-01-22 15:19:10.395Z,6,6,3,455,0,6,922.649048,27.854872,18.166088,32.692757,4.62558,1.500732,28.698874,308.015857,320.024066,-999,-999,0,-999,246.44,221.9,203.40286,88.69547,0.1,0.17,10364.73,221.9,66.44,14,3,22697,0,-58.127857,14.215491,0.59,0.69,39542,0,0,0,0,0,0,0,0,0,0,4104,0,23457,2,0,35,55921,0,192510299,0,5.865,30.466412,16690,4342,0
Data,2020-01-22 15:19:10.645Z,6.25,6,3,455,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,6.25,246.47,221.92,203.46761,88.596941,0.12,0.14,10364.77,221.92,66.47,14,3,25197,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510299,0,5.865,30.466412,16690,4342,0
Data,2020-01-22 15:19:10.895Z,6.5,6.5,3,456,0,6.5,922.727356,27.724577,17.685543,32.664494,4.467542,1.02139,28.539519,307.875054,319.46518,-999,-999,0,-999,246.5,221.88,203.477289,88.474443,0.11,0.16,10364.85,221.88,66.5,14,3,54642,0,-58.126916,14.215891,0.59,0.69,1135,0,0,0,0,0,0,0,0,0,0,4104,0,23427,2,0,35,64683,0,192510299,0,5.846,30.466412,16690,29733,0
Data,2020-01-22 15:19:11.145Z,6.75,6.5,3,456,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,6.75,246.48,221.94,203.501409,88.569409,0.38,0.39,10364.92,221.94,66.48,13,3,56633,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510299,0,5.846,30.466412,16690,29733,0
Data,2020-01-22 15:19:11.395Z,7,7,3,457,0,7,922.61853,27.663435,17.861033,32.63623,4.496501,1.108927,28.483469,307.822873,319.48997,-999,-999,0,-999,246.54,221.92,203.5757,88.348292,0.13,0.24,10364.98,221.92,66.54,13,3,35612,0,-58.125976,14.216291,0.92,1.06,27161,0,0,0,0,0,0,0,0,0,0,4104,0,23423,2,0,35,33659,0,192510299,0,5.916,30.466412,16690,64743,0
Data,2020-01-22 15:19:11.645Z,7.25,7,3,457,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,7.25,246.6,221.95,203.695639,88.146974,0.16,0.19,10364.93,221.95,66.6,12,3,22621,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510299,0,5.916,30.466412,16690,64743,0
Data,2020-01-22 15:19:11.895Z,7.5,7.5,3,458,0,7.5,922.680481,27.658606,18.305038,32.619625,4.607483,1.446935,28.498773,307.81202,319.772382,-999,-999,0,-999,246.63,221.96,203.750945,88.044274,0.12,0.22,10365.19,221.96,66.63,12,3,36730,0,-58.125036,14.216692,1.32,1.53,18895,0,0,0,0,0,0,0,0,0,0,4104,0,23428,2,0,34,61674,0,192510299,0,5.91,30.466412,16690,45588,0
Data,2020-01-22 15:19:12.145Z,7.75,7.5,3,458,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,7.75,246.66,221.97,203.806198,87.94154,0.14,0.32,10365.29,221.97,66.66,12,3,52301,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510299,0,5.91,30.466412,16690,45588,0
Data,2020-01-22 15:19:12.395Z,8,8,3,459,0,8,922.649048,27.690678,18.671902,32.627705,4.70958,1.750193,28.549465,307.847838,320.078521,-999,-999,0,-999,246.7,221.99,203.885912,87.807146,0.15,0.27,10365.28,221.99,66.7,12,3,19548,0,-58.124095,14.21709,1.46,1.69,59981,0,0,0,0,0,0,0,0,0,0,4104,0,23433,2,0,35,22467,0,192510299,0,5.916,30.466412,16690,64743,0
Data,2020-01-22 15:19:12.645Z,8.25,8,3,459,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,8.25,246.72,222.01,203.934922,87.743876,0.13,0.28,10365.52,222.01,66.72,12,3,25526,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510299,0,5.916,30.466412,16690,64743,0
Data,2020-01-22 15:19:12.895Z,8.5,8.5,3,460,0,8.5,922.524231,27.669607,20.09685,32.622513,5.066314,2.765237,28.593049,307.838188,321.015391,-999,-999,0,-999,246.77,222.03,204.029794,87.573764,0.13,0.22,10365.66,222.03,66.77,14,3,1680,0,-58.123152,14.217487,1.33,1.54,59679,0,0,0,0,0,0,0,0,0,0,4104,0,23438,2,0,35,31378,0,192510299,0,5.878,30.466412,16690,33355,0
Data,2020-01-22 15:19:13.145Z,8.75,8.5,3,460,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,8.75,246.8,222.01,204.057237,87.459043,0.13,0.28,10365.73,222.01,66.8,14,3,19766,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510299,0,5.878,30.466412,16690,33355,0
Data,2020-01-22 15:19:13.395Z,9,9,3,461,0,9,922.587585,27.595879,18.64343,32.622959,4.676446,1.651341,28.448384,307.756695,319.89996,-999,-999,0,-999,246.83,222.06,204.148969,87.37186,0.14,0.28,10365.8,222.06,66.83,14,3,32094,0,-58.122208,14.21788,1.05,1.22,60762,0,0,0,0,0,0,0,0,0,0,4104,0,23438,2,0,35,31378,0,192510299,0,5.897,30.466412,16690,8361,0
Data,2020-01-22 15:19:13.645Z,9.25,9,3,461,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,9.25,246.85,222.06,204.179455,87.300594,0.12,0.31,10365.85,222.06,66.85,14,3,289,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510299,0,5.897,30.466412,16690,8361,0
Data,2020-01-22 15:19:13.895Z,9.5,9.5,3,462,0,9.5,922.66156,27.515154,18.066807,32.602573,4.508867,1.147501,28.337028,307.667033,319.366772,-999,-999,0,-999,246.89,222.08,204.258748,87.165878,0.11,0.19,10365.93,222.08,66.89,14,3,7965,0,-58.121264,14.218273,0.83,0.97,8501,0,0,0,0,0,0,0,0,0,0,4104,0,23425,2,0,34,46422,0,192510299,0,5.865,30.502243,16690,29069,0
Data,2020-01-22 15:19:14.145Z,9.75,9.5,3,462,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,9.75,246.92,222.09,204.313559,87.062837,0.11,0.28,10366.01,222.09,66.92,14,3,50178,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510299,0,5.865,30.502243,16690,29069,0
Data,2020-01-22 15:19:14.395Z,10,10,3,463,0,10,922.536865,27.497599,17.375381,32.626057,4.33121,0.591632,28.287184,307.660961,318.891846,-999,-999,0,-999,246.95,222.1,204.368319,86.959762,0.1,0.26,10366.11,222.1,66.95,14,3,19372,0,-58.120318,14.218666,0.68,0.8,34816,0,0,0,0,0,0,0,0,0,0,4104,0,23410,2,0,34,9298,0,192510299,0,5.923,30.502243,16690,63823,0
Data,2020-01-22 15:19:14.645Z,10.25,10,3,463,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,10.25,246.98,222.11,204.423027,86.856653,0.1,0.25,10366.21,222.11,66.98,14,3,3697,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510299,0,5.923,30.502243,16690,63823,0
Data,2020-01-22 15:19:14.895Z,10.5,10.5,3,464,0,10.5,922.490479,27.497599,17.043035,32.662605,4.248015,0.324489,28.272082,307.665386,318.676887,-999,-999,0,-999,247,222.12,204.462538,86.789198,0.11,0.3,10366.31,222.12,67,14,3,28041,0,-58.119373,14.219058,0.62,0.73,28969,0,0,0,0,0,0,0,0,0,0,4104,0,23352,2,0,34,4948,0,192510299,0,5.82,30.502243,16690,16670,0
Data,2020-01-22 15:19:15.145Z,10.75,10.5,3,464,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,10.75,247.04,222.14,204.541494,86.654237,0.11,0.24,10366.39,222.14,67.04,14,3,49910,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510299,0,5.82,30.502243,16690,16670,0
Data,2020-01-22 15:19:15.395Z,11,11,3,465,0,11,922.349915,27.537842,17.277825,32.662605,4.31784,0.546317,28.325106,307.719979,318.916194,-999,-999,0,-999,247.06,222.11,204.544102,86.57114,0.14,0.47,10366.47,222.11,67.06,14,3,53291,0,-58.118427,14.219449,0.62,0.74,50393,0,0,0,0,0,0,0,0,0,0,4104,0,23424,2,0,35,8240,0,192510299,0,5.916,30.502243,16690,40348,0
Data,2020-01-22 15:19:15.645Z,11.25,11,3,465,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,11.25,247.09,222.19,204.663092,86.495172,0.19,0.4,10366.56,222.19,67.09,14,3,5017,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510299,0,5.916,30.502243,16690,40348,0
Data,2020-01-22 15:19:15.895Z,11.5,11.5,3,466,0,11.5,922.39624,27.550842,17.215319,32.642906,4.305193,0.506694,28.335844,307.728863,318.891528,-999,-999,0,-999,247.13,222.17,204.704999,86.344497,0.11,0.24,10366.61,222.17,67.13,14,3,21705,0,-58.11748,14.219838,0.63,0.75,58989,0,0,0,0,0,0,0,0,0,0,4104,0,23342,2,0,35,3192,0,192510299,0,5.904,30.502243,16690,63182,0
Data,2020-01-22 15:19:16.145Z,11.75,11.5,3,466,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,11.75,247.15,222.16,204.725912,86.269153,0.12,0.21,10366.7,222.16,67.15,14,3,42759,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510299,0,5.904,30.502243,16690,63182,0
Data,2020-01-22 15:19:16.395Z,12,12,3,467,0,12,922.381226,27.568634,16.956175,32.646442,4.244465,0.311379,28.342656,307.748504,318.750967,-999,-999,0,-999,247.16,222.17,204.750181,86.237301,0.11,0.21,10366.76,222.17,67.16,14,3,5162,0,-58.116532,14.220226,0.63,0.75,40112,0,0,0,0,0,0,0,0,0,0,4104,0,23327,2,0,35,20770,0,192510299,0,5.833,30.502243,16690,34787,0
Data,2020-01-22 15:19:16.645Z,12.25,12,3,467,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,12.25,247.2,222.18,204.819555,86.098213,0.11,0.16,10366.76,222.18,67.2,14,3,19655,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510299,0,5.833,30.502243,16690,34787,0
Data,2020-01-22 15:19:16.895Z,12.5,12.5,3,468,0,12.5,922.50531,27.553911,16.728076,32.677563,4.182784,0.112513,28.316695,307.721598,318.560981,-999,-999,0,-999,247.22,222.19,204.858816,86.030584,0.11,0.15,10366.76,222.19,67.22,14,3,21889,0,-58.115584,14.220614,0.63,0.75,31461,0,0,0,0,0,0,0,0,0,0,4104,0,23315,2,0,34,17021,0,192510299,0,5.852,30.502243,16690,23469,0
Data,2020-01-22 15:19:17.145Z,12.75,12.5,3,468,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,12.75,247.26,222.21,204.937273,85.895276,0.11,0.16,10366.77,222.21,67.26,14,3,59670,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510299,0,5.852,30.502243,16690,23469,0
Data,2020-01-22 15:19:17.395Z,13,13,3,469,0,13,922.428162,27.573221,16.91292,32.712456,4.234491,0.279805,28.345444,307.748719,318.724712,-999,-999,0,-999,247.27,222.21,204.952261,85.859506,0.11,0.16,10366.8,222.21,67.27,14,3,24165,0,-58.114636,14.221001,0.63,0.74,60241,0,0,0,0,0,0,0,0,0,0,4104,0,23315,2,0,34,17021,0,192510299,0,5.897,30.502243,16690,16850,0
Data,2020-01-22 15:19:17.645Z,13.25,13,3,469,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,13.25,247.3,222.23,205.01564,85.7599,0.1,0.19,10366.82,222.23,67.3,14,3,30185,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510299,0,5.897,30.502243,16690,16850,0
Data,2020-01-22 15:19:17.895Z,13.5,13.5,3,470,0,13.5,922.41217,27.603777,16.69578,32.752346,4.187368,0.126131,28.36752,307.781515,318.633268,-999,-999,0,-999,247.32,222.25,205.064016,85.696042,0.11,0.15,10366.85,222.25,67.32,14,3,50068,0,-58.113688,14.221388,0.62,0.74,45863,0,0,0,0,0,0,0,0,0,0,4104,0,23318,2,0,34,1985,0,192510299,0,5.897,30.502243,16690,16850,0
Data,2020-01-22 15:19:18.145Z,13.75,13.5,3,470,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,13.75,247.35,222.28,205.136545,85.600212,0.1,0.14,10366.86,222.28,67.35,14,3,4719,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510299,0,5.897,30.502243,16690,16850,0
Data,2020-01-22 15:19:18.395Z,14,14,3,471,0,14,922.458679,27.568392,16.588408,32.780605,4.151381,0.008605,28.325509,307.740865,318.49761,-999,-999,0,-999,247.38,222.28,205.181337,85.492791,0.1,0.09,10366.88,222.28,67.38,14,3,10754,0,-58.112739,14.221774,0.62,0.74,14674,0,0,0,0,0,0,0,0,0,0,4104,0,23322,2,0,35,5278,0,192510299,0,5.762,30.502243,16690,17525,0
Data,2020-01-22 15:19:18.645Z,14.25,14,3,471,0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,14.25,247.41,222.29,205.235306,85.389188,0.11,0.06,10366.88,222.29,67.41,14,3,14761,0,-999,-999,-999,-999,-999,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1,192510299,0,5.762,30.502243,16690,17525,0
Data,2020-01-22 15:19:18.895Z,14.5,14.5,3,472,0,14.5,922.408875,27.550842,16.205834,32.797455,4.051042,-0.32666,28.289691,307.727658,318.220203,-999,-999,0,-999,247.44,222.3,205.289222,85.285552,0.11,0.07,10366.89,222.3,67.44,14,3,53221,0,-58.11179,14.222159,0.62,0.74,59133,0,0,0,0,0,0,0,0,0,0,4104,0,23314,2,0,34,62987,0,192510299,0,5.871,30.538099,16690,13680,0
